ts,expiry,spot,n_contracts,atm_iv,oi_pcr,oi_pcr_usd,oi_pcr_2pct,oi_pcr_4pct,oi_pcr_10pct,vol_pcr,iv_skew,iv_wing,delta_pcr,theta_pcr,vega_pcr,sr_support_dist,sr_resistance_dist,sr_support_oi,sr_resistance_oi,net_dir_score,gamma_tilt,max_pain_dist,iv_bidask,iv_term_slope,funding_rate,perp_basis,ls_ratio_top,ls_ratio_global,ls_divergence,taker_ratio,total_oi,total_vol,perp_oi
1781435957934,260615,64536.61173913,26,0.347,0.9759915190820654,0.9759915190820653,0.8454408398012172,0.5434551687509053,0.9759915190820654,0.6416440733109207,-0.026,0.131,0.4158108999030806,0.5255620437462524,0.5901341992610876,-0.07029516451015272,0.02267531903883202,150.74,143.43,0.11522,0.230902,-0.008315,0.004,0.035,-3.873e-05,-0.0006809531156836697,1.517,1.4242,0.0928,1.3357,950.6100000000001,756.88,100881.504
1781436017946,260615,64516.22130435,26,0.347,0.9755453978807397,0.9755453978807397,0.8444035469298979,0.54316668275263,0.9755453978807397,0.6405603793603707,-0.029,0.1295,0.4266899299693104,0.5242089743907863,0.5982164821295901,-0.07000133010030296,0.0229985368896668,150.74,143.43,0.115737,0.217624,-0.008001,0.006001,0.035,-3.873e-05,-0.0006025259208319779,1.517,1.4237,0.0933,1.3357,950.83,757.66,100883.468
1781436077951,260615,64523.8323913,26,0.348,0.9739669764354464,0.9739669764354464,0.8428992929911485,0.5427476130774423,0.9739669764354464,0.639701589361012,-0.022,0.129,0.4202885352776131,0.5275114841691294,0.5935553426733097,-0.07011103066329893,0.022877866270371028,150.74,143.43,0.116461,0.227308,-0.008118,0.004003,0.034,-3.933e-05,-0.0005433486548879744,1.5164,1.4237,0.0927,1.3357,951.6100000000001,758.28,100880.744
1781436137955,260615,64530.57804348,26,0.349,0.9727159726538223,0.9727159726538223,0.84,0.5419375030092927,0.9727159726538223,0.6388150070277868,-0.031,0.1255,0.4140702124259873,0.5243560265116356,0.5863305121910112,-0.07020823586032887,0.022770940553638264,150.74,143.43,0.117112,0.236235,-0.008222,0.004005,0.033,-3.953e-05,-0.0005001976498374466,1.5164,1.4237,0.0927,1.3357,952.23,757.87,100891.908
1781436197958,260615,64532.36565217,26,0.348,0.9727159726538223,0.9727159726538223,0.84,0.5419375030092927,0.9727159726538223,0.6403935560601146,-0.02,0.13,0.4130536256570396,0.5282033513566242,0.5877612308726442,-0.07023399198782654,0.022742608813390852,150.74,143.43,0.116525,0.236764,-0.00825,0.004007,0.034,-3.953e-05,-0.0005355317997928232,1.5164,1.4237,0.0927,1.3357,952.23,758.5999999999999,100892.029
1781436257967,260615,64548.82826087,26,0.349,0.9727988398591256,0.9727988398591256,0.84,0.5420338003755597,0.9727988398591256,0.640379708515331,-0.019,0.1285,0.4030283526060436,0.5260605555844715,0.579394761282551,-0.07047112059859861,0.022481767341541392,150.74,143.43,0.116509,0.247263,-0.008503,0.00401,0.033,-3.954e-05,-0.0004431254592567753,1.5164,1.4237,0.0927,0.6364,952.27,758.6099999999999,100895.203
1781436317973,260615,64555.66130435,26,0.349,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.5420207515828498,0.9727786869963331,0.640379708515331,-0.018,0.129,0.39836013163930556,0.5276992394469169,0.5756690762467425,-0.07056950873560364,0.022373540390836055,150.74,143.43,0.116514,0.254476,-0.008607,0.004013,0.033,-3.914e-05,-0.000548542099661481,1.5164,1.4237,0.0927,0.6364,952.28,758.6099999999999,100895.608
1781436377979,260615,64552.56,26,0.35,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.5420207515828498,0.9727786869963331,0.640379708515331,-0.021,0.1275,0.4018851724174982,0.5267128398086294,0.5787259437659376,-0.07052485602430014,0.022422658373269844,150.74,143.43,0.116514,0.24891,-0.00856,0.004013,0.032,-3.915e-05,-0.0005495253498853747,1.5164,1.4213,0.0951,0.823,952.28,758.6099999999999,100898.046
1781436437985,260615,64544.87673913,26,0.35,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.5420207515828498,0.9727786869963331,0.640379708515331,-0.021,0.1275,0.406256674976112,0.5259305907436375,0.5819732244353886,-0.07041421362533473,0.02254436501213175,150.74,143.43,0.116514,0.243479,-0.008442,0.004014,0.032,-3.915e-05,-0.0006138891399481964,1.5138,1.4213,0.0925,0.823,952.28,758.6099999999999,100898.116
1781436497989,260615,64564.76086957,26,0.349,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.5420207515828498,0.9727786869963331,0.6404445789906155,-0.015,0.1305,0.39340039794558135,0.5175738347999365,0.5728068132578171,-0.0707004999025933,0.022229450107147386,150.74,143.43,0.11649,0.248493,-0.008747,0.004019,0.033,-3.933e-05,-0.0004438001077380871,1.5138,1.4213,0.0925,0.823,952.28,758.64,100896.0
1781436558001,260615,64589.97891304,26,0.349,0.9727786869963331,0.9727786869963331,0.8399534006435149,0.49043126356078887,0.9727786869963331,0.6404445789906155,-0.013,0.1305,0.3771536861197353,0.5139906506454301,0.5586981299981776,-0.07106332886746514,0.021830338245788283,150.74,143.43,0.11649,0.270081,-0.009134,0.004026,0.033,-3.885e-05,-0.00047116133517945683,1.5138,1.4213,0.0925,0.823,952.28,758.64,100892.649
1781436618004,260615,64590.15369565,26,0.348,0.9727786869963331,0.9727786869963332,0.8399534006435149,0.49043126356078887,0.9727786869963331,0.6404445789906155,-0.012,0.132,0.3773485444623113,0.5167915681513948,0.5592904064386505,-0.07106584259388649,0.021827573146724788,150.74,143.43,0.11649,0.272263,-0.009137,0.004028,0.034,-3.885e-05,-0.0006025734475473619,1.5138,1.4213,0.0925,0.823,952.28,758.64,100887.509
